comuna;barrios;direccion
1;Retiro, San Nicolás, Puerto Madero, San Telmo, Montserrat y Constitución.;Humberto 1º 250 / Balcarce 1110.
2;Recoleta.;Pres. José E. Uriburu 1022.
3;Balvanera y San Cristóbal.;Sarandí 1273.
4;La Boca, Barracas, Parque Patricios y Nueva Pompeya.;Av. del Barco Centenera 2906.
5;Almagro y Boedo.;Carlos Calvo 3307.
6;Caballito.;Patricias Argentinas 277.
7;Flores y Parque Chacabuco.;Av. Rivadavia 7202.
8;Villa Soldati, Villa Riachuelo y Villa Lugano.;Av. Roca 5252.
9;Liniers, Mataderos y Parque Avellaneda.;Timoteo Gordillo 2212.
10;Villa Real, Monte Castro, Versalles, Floresta, Vélez Sarsfield y Villa Luro.;Bacacay 3968.
11;Villa General Mitre, Villa Devoto, Villa del Parque y Villa Santa Rita.;Av. Beiró 4680.
12;Coghlan, Saavedra, Villa Urquiza y Villa Pueyrredón.;Holmberg 2548.
13;Núñez, Belgrano y Colegiales.;Av. Cabildo 3067.
14;Palermo.;Beruti 3325.
15;Chacarita, Villa Crespo, La Paternal, Villa Ortúzar, Agronomía y Parque Chas.;Av. Córdoba 5690.
