"","created_on","lat.lon","lat","lon","price_aprox_usd","surface_total_in_m2","surface_covered_in_m2","price_usd_per_m2","rooms","properati_url","barrio","comuna","price_aprox_usd_imp","surface_total_in_m2_imp","price_usd_per_m2_imp","long"
"1",2017-08-29,"-34.588912403,-58.4134942185",-34.588912403,-58.4134942185,340000,130,120,2615.38461538461,4,"https://www.properati.com.ar/1dzv6_venta_departamento_palermo_guemes_3600_balcon_suite_jardin_lavadero_luminoso_lujoso_dependencias_placard_doble-circulacion_subte-linea-d_luisio-propiedades-suc-virrey-del-pino-2378","PALERMO","14",FALSE,FALSE,FALSE,-58.4134942185
"2",2017-08-29,"-34.5770327,-58.4233675",-34.5770327,-58.4233675,222000,52,48,4269.23076923077,1,"https://www.properati.com.ar/1e05k_venta_departamento_palermo_juncal-al-4500_gimnasio_jardin_lavadero_parrilla_piscina_sum_aire-acondicionado_subte-linea-h_subte-linea-c_deptos-temporarios","PALERMO","14",FALSE,FALSE,FALSE,-58.4233675
"3",2017-08-30,"-34.5809281,-58.4404321",-34.5809281,-58.4404321,270000,67,64,4029.85074626866,3,"https://www.properati.com.ar/1e1x0_venta_departamento_palermo-hollywood_arevalo_1700_balcon_toilette_luminoso_apto-credito-hipotecario_yankel-group","PALERMO","14",FALSE,FALSE,FALSE,-58.4404321
"4",2017-08-30,"-34.594251,-58.4166447",-34.594251,-58.4166447,250000,67,60,3731.34328358209,2,"https://www.properati.com.ar/1e2mz_venta_departamento_palermo_balcon_lavadero_parrilla_piscina_aire-acondicionado_apto-credito-hipotecario_ageo-propiedades_dwr","PALERMO","14",FALSE,FALSE,FALSE,-58.4166447
"5",2017-08-30,"-34.5711496,-58.4232966",-34.5711496,-58.4232966,490000,100,95,3947.36842105263,4,"https://www.properati.com.ar/1e2no_venta_departamento_palermo_gimnasio_lavadero_parrilla_patio_piscina_sum_sauna_electrogeno_garage_tenis_amoblado_amenities_apto-credito-hipotecario_cityprop_fz8","PALERMO","14",FALSE,FALSE,TRUE,-58.4232966
"6",2017-08-30,"-34.5711496,-58.4232966",-34.5711496,-58.4232966,119124.77,40,36,2978.11925,1,"https://www.properati.com.ar/1e2of_venta_departamento_palermo_jardin_lavadero_parrilla_amenities_aprop-bienes-raices","PALERMO","14",FALSE,FALSE,FALSE,-58.4232966
"7",2017-08-31,"-34.5684721,-58.4312493",-34.5684721,-58.4312493,469000,97,97,4166,3,"https://www.properati.com.ar/1e3oo_venta_departamento_palermo_baulera_suite_gimnasio_jardin_lavadero_piscina_sum_garage_impecable_aire-acondicionado_losa-radiante_tovado-propiedades_dk1","PALERMO","14",TRUE,FALSE,TRUE,-58.4312493
"8",2017-08-31,"-34.5825677,-58.4329982",-34.5825677,-58.4329982,198000,64,48,3093.75,2,"https://www.properati.com.ar/1e4f0_venta_departamento_palermo-hollywood_balcon_terraza_luminoso_amenities_aire-acondicionado_arkis-inmobiliaria_eoh","PALERMO","14",FALSE,FALSE,FALSE,-58.4329982
"9",2017-08-31,"-34.5893559,-58.416935",-34.5893559,-58.416935,170000,40,38,4250,1,"https://www.properati.com.ar/1e4fi_venta_departamento_palermo_balcon_garage_subte-linea-d_bienvende-amelia-claro_ej0","PALERMO","14",FALSE,FALSE,FALSE,-58.416935
"10",2017-08-31,"-34.570648,-58.433619",-34.570648,-58.433619,159800,47,47,3400,1,"https://www.properati.com.ar/1e4tm_venta_departamento_palermo_balcon_luminoso_estrenar_subte-linea-d_re-max-d-bosion","PALERMO","14",FALSE,FALSE,FALSE,-58.433619
"11",2017-08-31,"-34.570648,-58.433619",-34.570648,-58.433619,144400,38,38,3800,1,"https://www.properati.com.ar/1e4tp_venta_departamento_palermo_balcon_luminoso_estrenar_subte-linea-d_re-max-d-bosion","PALERMO","14",FALSE,FALSE,FALSE,-58.433619
"12",2017-08-31,"-34.570648,-58.433619",-34.570648,-58.433619,169000,52,47,3250,1,"https://www.properati.com.ar/1e4tr_venta_departamento_palermo_balcon_luminoso_estrenar_subte-linea-d_re-max-d-bosion","PALERMO","14",FALSE,FALSE,FALSE,-58.433619
"13",2017-09-01,"-34.5672629609,-58.4318401926",-34.5672629609,-58.4318401926,450000,152,185,3200,4,"https://www.properati.com.ar/1e6hy_venta_departamento_nunez_san-benito-de-palermo_1500_balcon_baulera_suite_lavadero_toilette_vestidor_lujoso_dependencias_garage_aire-acondicionado_filippo-propiedades_9im","PALERMO","14",TRUE,TRUE,FALSE,-58.4318401926
"14",2017-09-01,"-34.5670278,-58.4353992",-34.5670278,-58.4353992,485000,150,157,3511.90476190476,4,"https://www.properati.com.ar/1e6s5_venta_departamento_belgrano_soldado-de-la-independencia_900_balcon_baulera_suite_lavadero_toilette_vestidor_luminoso_lujoso_garage_impecable_aire-acondicionado_shenk-inmobiliaria_gkj","PALERMO","14",TRUE,TRUE,FALSE,-58.4353992
